url,volume,market_cap,name,symbol
/equities/aditya-birla,5757878,883930000000.0,Aditya Birla Capital,ADTB
/equities/hubtown,761265,29220000000.0,Hubtown,HUBT
/equities/3i-infotech,256725,3100000000.0,3i Infotech,TIIN
/equities/3m-india,4490,386900000000.0,3M India,TMIN
/equities/abb-limited,634906,1180000000000.0,ABB India,ABB
/equities/acc,227280,307450000000.0,ACC,ACC
/equities/aarti-industries,1128755,134830000000.00002,Aarti Industries,ARTI
/equities/aban-offshore,72425,1250000000.0,Aban Offshore,ABAN
/equities/adani-enterprises,1230915,2610000000000.0,Adani Enterprises,ADEL
/equities/adani-power,15157606,2600000000000.0,Adani Power,ADAN
/equities/agro-tech-foods,12668,23280000000.0,Sundrop Brands,SNDO
/equities/aia-engineering,139733,371090000000.0,AIA Engineering,AIAE
/equities/akzo-nobel-india,51477,127520000000.0,Akzo Nobel India,AKZO
/equities/allcargo-logistics,3972216,15550000000.0,Allcargo Logistics,ACLL
/equities/allied-digital-services,120662,7060000000.0,Allied Digital,ADIS
/equities/alok-industries,6166674,75070000000.0,Alok Industries,ALOK
/equities/alstom-projects-india,172455,19980000000.0,GE Power India,GEPO
/equities/amara-raja-batteries,252479,153740000000.0,Amara Raja Energy,AMAR
/equities/ambuja-cements,6130082,1260000000000.0,Ambuja Cements,ABUJ
/equities/anant-raj-industries,3160804,181360000000.0,Anant Raj,ANRA
/equities/ansal-properties---infra.,21442,459620000.0,Ansal Properties,ANSP
/equities/apollo-hospitals,489138,1000000000000.0,Apollo Hospitals,APLH
/equities/apollo-tyres,521470,312980000000.0,Apollo Tyres,APLO
/equities/aptech,170554,4640000000.0,Aptech,APTA
/equities/arss-infrastructure,0,1230000000.0,ARSS Infrastructure,ARSS
/equities/arvind,2455366,82020000000.0,Arvind,ARVN
/equities/asahi-india-glass,299450,254520000000.0,Asahi India Glass,AISG
/equities/ashok-leyland,14239171,1150000000000.0,Ashok Leyland,ASOK
/equities/asian-paints,2048843,2330000000000.0,Asian Paints,ASPN
/equities/astrazeneca-pharma-india,4432,214040000000.0,AstraZeneca Pharma,ASTR
/equities/atul,19163,183350000000.0,Atul,ATLP
/equities/aurobindo-pharma,8127226,695630000000.0,Aurobindo Pharma,ARBN
/equities/automotive-axles,14704,28260000000.0,Automotive Axles,ATOA
/equities/sanofi-india-ltd,22312,92790000000.0,Sanofi India,SANO
/equities/axis-bank,14758482,4250000000000.0,Axis Bank,AXBK
/equities/bgr-energy-systems,179788,25110000000.0,BGR Energy Systems,BGRE
/equities/boc-india,17611,511960000000.0,Linde India,LIND
/equities/bajaj-auto,283660,2680000000000.0,Bajaj Auto,BAJA
/equities/bajaj-electricals,886349,47790000000.0,Bajaj Electricals,BJEL
/equities/bajaj-finance,10151379,5750000000000.0,Bajaj Finance,BJFN
/equities/bajaj-finserv-limited,1342205,3110000000000.0,Bajaj Finserv,BJFS
/equities/bajaj-holdings---investment,66246,1200000000000.0,Bajaj Holdings,BJAT
/equities/bajaj-hindusthan-limited,6846804,20410000000.0,Bajaj Hindusthan Sugar,BJHN
/equities/balaji-telefilms-limited,173614,10200000000.0,Balaji Telefilms,BLTE
/equities/ballarpur-industries,0,1140000000.0,Ballarpur Industries,BILT
/equities/balmer-lawrie---company,123755,29450000000.0,Balmer Lawrie&Co.,BLMR
/equities/balrampur-chini-mills,211893,84780000000.0,Balrampur Chini Mills,BACH
/equities/banco-products-(i),606279,84430000000.0,Banco Products India,BNCO
/equities/bank-of-india,11736534,746560000000.0,Bank of India,BOI
/equities/bannari-amman-sugars,855,45060000000.0,Bannari Amman Sugars,BANN
/equities/basf-india,25705,157620000000.0,BASF India,BASF
/equities/bata-india,120182,110530000000.0,Bata India,BATA
/equities/beml,457501,149500000000.0,BEML,BEML
/equities/berger-paints-(i),262316,539400000000.0,Berger Paints,BRGR
/equities/bf-utilities,6169,19550000000.0,BF Utilities,BFUT
/equities/bhansali-eng.-polymers,197976,20540000000.0,Bhansali Engg Polymers,BHAN
/equities/bharat-forge,1048256,688110000000.0,Bharat Forge,BFRG
/equities/bharat-petroleum,12639803,1580000000000.0,Bharat Petroleum,BPCL
/equities/bharti-airtel,7683747,12010000000000.0,Bharti Airtel,BRTI
/equities/bharat-heavy-electricals,6252061,913350000000.0,Bharat Heavy Electricals,BHEL
/equities/bharat-electronics,36684903,3280000000000.0,Bharat Electronics,BAJE
/equities/biocon,1851119,593460000000.0,Biocon,BION
/equities/birla-corporation,33507,81370000000.0,Birla Corporation,BRLC
/equities/bank-of-baroda,11708481,1550000000000.0,Bank of Baroda Ltd,BOB
/equities/blue-dart-express,24247,130500000000.0,Blue Dart Express,BLDT
/equities/blue-star-infotech,1269386,373540000000.0,Blue Star,BLUS
/equities/bombay-dyeing---mfg,748085,23800000000.0,Bombay Dyeing&Mfg.,BDYN
/equities/bombay-rayon-fashions,0,634950000.0,Bombay Rayon Fashions,BRFL
/equities/bosch,24729,1080000000000.0001,Bosch,BOSH
/equities/brigade-enterprises,502904,184510000000.0,Brigade Enterprises,BRIG
/equities/britannia-industries,806045,1410000000000.0,Britannia Industries,BRIT
/equities/cadila-healthcare,662055,889860000000.0,Zydus Lifesciences,ZYDU
/equities/canara-bank,43411151,1330000000000.0,Canara Bank,CNBK
/equities/can-fin-homes,227057,125160000000.0,Can Fin Homes,CNFH
/equities/carborundum-universal,407422,150030000000.0,Carborundum Universal,CRBR
/equities/castrol-india,1213892,182230000000.0,Castrol India,CAST
/equities/central-bank-of-india,8898237,339160000000.0,CBI,CBI
/equities/century-enka-limited,8452,9500000000.0,Century Enka,CNTE
/equities/century-plyboards-(india),52444,178600000000.0,Century Plyboards,CNTP
/equities/century-textiles---industries,274082,141650000000.0,Aditya Birla RE,AITE
/equities/cesc,2133312,199290000000.0,CESC,CESC
/equities/chambal-fertilizers---chem.,872655,176610000000.0,Chambal Fertilisers,CHMB
