url,volume,market_cap,company,symbol,news_url
/equities/reliance-industries,11239835,1.891E+13,Reliance Industries,RELI,/equities/reliance-industries-news
/equities/hdfc-bank-ltd,29691233,1.43E+13,HDFC Bank,HDBK,/equities/hdfc-bank-ltd-news
/equities/bharti-airtel,7683747,1.201E+13,Bharti Airtel,BRTI,/equities/bharti-airtel-news
/equities/tata-consultancy-services,3022068,1.13E+13,Tata Consultancy,TCS,/equities/tata-consultancy-services-news
/equities/state-bank-of-india,9480769,9.94E+12,SBI,SBI,/equities/state-bank-of-india-news
/equities/icici-bank-ltd,24013717,9.69E+12,ICICI Bank,ICBK,/equities/icici-bank-ltd-news
/equities/infosys,9207926,6.64E+12,Infosys,INFY,/equities/infosys-news
/equities/hindustan-unilever,2090462,6.14E+12,Hindustan Unilever,HLL,/equities/hindustan-unilever-news
/equities/bajaj-finance,10151379,5.75E+12,Bajaj Finance,BJFN,/equities/bajaj-finance-news
/equities/larsen---toubro,2208465,5.41E+12,Larsen & Toubro,LART,/equities/larsen---toubro-news
/equities/life-insurance,719862,5.19E+12,LIC India,LIFI,/equities/life-insurance-news
/equities/hcl-technologies,4448681,4.66E+12,HCL Tech,HCLT,/equities/hcl-technologies-news
/equities/maruti-suzuki-india,946509,4.6E+12,Maruti Suzuki,MRTI,/equities/maruti-suzuki-india-news
/equities/axis-bank,14758482,4.25E+12,Axis Bank,AXBK,/equities/axis-bank-news
/equities/kotak-mahindra-bank-prf,0,4.1E+12,Kotak Mahindra Bank Prf,KTKM_p,/equities/kotak-mahindra-bank-prf-news
/equities/kotak-mahindra-bank,20681886,4.06E+12,Kotak Mahindra Bank,KTKM,/equities/kotak-mahindra-bank-news
/equities/itc,41975824,4.04E+12,ITC,ITC,/equities/itc-news
/equities/mahindra---mahindra,5291090,3.83E+12,Mahindra & Mahindra,MAHM,/equities/mahindra---mahindra-news
/equities/sun-pharma-advanced-research,3962196,3.83E+12,Sun Pharma,SUN,/equities/sun-pharma-advanced-research-news
/equities/ultratech-cement,296876,3.74E+12,UltraTech Cement,ULTC,/equities/ultratech-cement-news
/equities/titan-industries,1427639,3.53E+12,Titan Company,TITN,/equities/titan-industries-news
/equities/ntpc,22641103,3.44E+12,NTPC,NTPC,/equities/ntpc-news
/equities/oil---natural-gas-corporation,24420043,3.38E+12,Oil & Natural Gas,ONGC,/equities/oil---natural-gas-corporation-news
/equities/bharat-electronics,36684903,3.28E+12,Bharat Electronics,BAJE,/equities/bharat-electronics-news
/equities/mundra-port-special-eco.-zone,2227414,3.27E+12,Adani Ports & SEZ,APSE,/equities/mundra-port-special-eco.-zone-news
/equities/bajaj-finserv-limited,1342205,3.11E+12,Bajaj Finserv,BJFS,/equities/bajaj-finserv-limited-news
/equities/hindustan-aeronautics-ltd,1582165,3.09E+12,Hindustan Aeronautics,HIAE,/equities/hindustan-aeronautics-ltd-news
/equities/jsw-steel,2876505,2.95E+12,JSW Steel,JSTL,/equities/jsw-steel-news
/equities/coal-india,10191610,2.9E+12,Coal India,COAL,/equities/coal-india-news
/equities/bajaj-auto,283660,2.68E+12,Bajaj Auto,BAJA,/equities/bajaj-auto-news
/equities/sesa-goa,54628339,2.65E+12,Vedanta,VDAN,/equities/sesa-goa-news
/equities/hindustan-zinc,49436689,2.64E+12,Hindustan Zinc,HZNC,/equities/hindustan-zinc-news
/equities/adani-enterprises,1230915,2.61E+12,Adani Enterprises,ADEL,/equities/adani-enterprises-news
/equities/adani-power,15157606,2.6E+12,Adani Power,ADAN,/equities/adani-power-news
/equities/nestle,5292100,2.56E+12,Nestle India,NEST,/equities/nestle-news
/equities/zomato,43752149,2.5E+12,Eternal,ETEA,/equities/zomato-news
/equities/wipro-ltd,11362317,2.48E+12,Wipro,WIPR,/equities/wipro-ltd-news
/equities/tata-steel,52262849,2.41E+12,Tata Steel Ltd,TISC,/equities/tata-steel-news
/equities/avenue-supermarts-ltd,619205,2.4E+12,Avenue Supermarts,AVEU,/equities/avenue-supermarts-ltd-news
/equities/power-grid-corp.-of-india,23292764,2.38E+12,Power Grid,PGRD,/equities/power-grid-corp.-of-india-news
/equities/asian-paints,2048843,2.33E+12,Asian Paints,ASPN,/equities/asian-paints-news
/equities/indian-oil-corporation,11627532,2.24E+12,Indian Oil,IOC,/equities/indian-oil-corporation-news
/equities/hindalco-industries,11977092,2.13E+12,Hindalco Industries,HALC,/equities/hindalco-industries-news
/equities/sbi-life-insurance,2050622,2E+12,SBI Life Insurance,SBIL,/equities/sbi-life-insurance-news
/equities/eicher-motors,454539,1.95E+12,Eicher Motors,EICH,/equities/eicher-motors-news
/equities/shriram-transport-finance,6464610,1.91E+12,Shriram Finance,SHMF,/equities/shriram-transport-finance-news
/equities/grasim-industries,1083570,1.91E+12,Grasim Industries,GRAS,/equities/grasim-industries-news
/equities/interglobe-aviation-ltd,1567278,1.78E+12,InterGlobe Aviation Ltd,INGL,/equities/interglobe-aviation-ltd-news
/equities/larsen-toubro-infotech-ltd,260551,1.77E+12,LTIMindtree,LTIM,/equities/larsen-toubro-infotech-ltd-news
/equities/hyundai-motor-india,718522,1.75E+12,Hyundai Motor India,HYUN,/equities/hyundai-motor-india-news
/equities/tvs-motor-company,994421,1.74E+12,TVS Motor Company,TVSM,/equities/tvs-motor-company-news
/equities/tata-motors-nb,15832250,1.73E+12,Tata Motors,TATM,/equities/tata-motors-nb-news
/equities/jio-financial-services,13448707,1.62E+12,Jio Financial Services,JIOF,/equities/jio-financial-services-news
/equities/divis-laboratories,347165,1.61E+12,Divi's Labs,DIVI,/equities/divis-laboratories-news
/equities/varun-beverages-ltd,6589147,1.59E+12,Varun Beverages,VARB,/equities/varun-beverages-ltd-news
/equities/bharat-petroleum,12639803,1.58E+12,Bharat Petroleum,BPCL,/equities/bharat-petroleum-news
/equities/hdfc-standard-life,3672455,1.57E+12,HDFC Life,HDFL,/equities/hdfc-standard-life-news
/equities/indian-railway-finance,19011603,1.57E+12,Indian Railway Finance,INID,/equities/indian-railway-finance-news
/equities/dlf,3937443,1.57E+12,DLF,DLF,/equities/dlf-news
/equities/bank-of-baroda,11708481,1.55E+12,Bank of Baroda Ltd,BOB,/equities/bank-of-baroda-news
/equities/tech-mahindra,1672787,1.54E+12,Tech Mahindra,TEML,/equities/tech-mahindra-news
/equities/muthoot-finance-ltd,1066990,1.53E+12,Muthoot Finance,MUTT,/equities/muthoot-finance-ltd-news
/equities/pidilite-industries,722566,1.45E+12,Pidilite Industries,PIDI,/equities/pidilite-industries-news
/equities/icici-prudential-asset-management,658235,1.44E+12,ICICI Prudential Asset Management,IICL,/equities/icici-prudential-asset-management-news
/equities/punjab-national-bank,14202987,1.44E+12,Punjab National Bank,PNBK,/equities/punjab-national-bank-news
/equities/britannia-industries,806045,1.41E+12,Britannia Industries,BRIT,/equities/britannia-industries-news
/equities/adani-green-energy,2887230,1.4E+12,Adani Green Energy,ADNA,/equities/adani-green-energy-news
/equities/tata-capital,3524568,1.4E+12,Tata Capital,TATC,/equities/tata-capital-news
/equities/cholamandalam-inv.-and-finance,1716319,1.39E+12,Cholamandalam,CHLA,/equities/cholamandalam-inv.-and-finance-news
/equities/union-bank-of-india,15736553,1.38E+12,Union Bank of India,UNBK,/equities/union-bank-of-india-news
/equities/trent,1070238,1.35E+12,Trent,TREN,/equities/trent-news
/equities/torrent-pharmaceuticals,544103,1.34E+12,Torrent Pharma,TORP,/equities/torrent-pharmaceuticals-news
/equities/canara-bank,43411151,1.33E+12,Canara Bank,CNBK,/equities/canara-bank-news
/equities/tata-motors-ltd,9910289,1.29E+12,Tata Motors Passenger Vehicles,TAMO,/equities/tata-motors-ltd-news
/equities/ambuja-cements,6130082,1.26E+12,Ambuja Cements,ABUJ,/equities/ambuja-cements-news
/equities/power-finance-corporation,17579735,1.25E+12,Power Finance,PWFC,/equities/power-finance-corporation-news
/equities/indian-bank,2043131,1.23E+12,Indian Bank,INBA,/equities/indian-bank-news
/equities/solar-industries-india-ltd,314201,1.22E+12,Solar Industries India Ltd,SLIN,/equities/solar-industries-india-ltd-news
/equities/idea-cellular,1730514645,1.21E+12,Vodafone Idea,VODA,/equities/idea-cellular-news
/equities/bajaj-holdings---investment,66246,1.2E+12,Bajaj Holdings,BJAT,/equities/bajaj-holdings---investment-news
/equities/motherson-sumi-systems,14380990,1.19E+12,Samvardhana Motherson International Ltd,SAMD,/equities/motherson-sumi-systems-news
/equities/godrej-consumer-products,1816812,1.18E+12,Godrej Consumer,GOCP,/equities/godrej-consumer-products-news
/equities/abb-limited,634906,1.18E+12,ABB India,ABB,/equities/abb-limited-news
/equities/bharti-infratel-ltd,11897285,1.17E+12,Indus Towers,INUS,/equities/bharti-infratel-ltd-news
/equities/tata-power-company,5917250,1.17E+12,Tata Power Co.,TTPW,/equities/tata-power-company-news
/equities/ashok-leyland,14239171,1.15E+12,Ashok Leyland,ASOK,/equities/ashok-leyland-news
/equities/jindal-steel---power,3291975,1.15E+12,Jindal Steel,JINT,/equities/jindal-steel---power-news
/equities/cummins-india,718670,1.14E+12,Cummins India Ltd,CUMM,/equities/cummins-india-news
/equities/bse-ltd,3805677,1.14E+12,BSE,BSEL,/equities/bse-ltd-news
/equities/tata-global-beverages,2570464,1.12E+12,Tata Consumer Products,TACN,/equities/tata-global-beverages-news
/equities/hero-motocorp,466102,1.11E+12,Hero MotoCorp,HROM,/equities/hero-motocorp-news
/equities/gail-(india),15845745,1.1E+12,GAIL Ltd,GAIL,/equities/gail-(india)-news
/equities/siemens-ltd,242521,1.1E+12,Siemens Ltd,SIEM,/equities/siemens-ltd-news
/equities/bosch,24729,1.08E+12,Bosch,BOSH,/equities/bosch-news
/equities/hdfc-asset-management-company-ltd,1084243,1.08E+12,HDFC Asset Management,HDFA,/equities/hdfc-asset-management-company-ltd-news
/equities/idbi-bank,10398665,1.07E+12,IDBI Bank,IDBI,/equities/idbi-bank-news
/equities/cipla,2157826,1.07E+12,Cipla,CIPL,/equities/cipla-news
/equities/billionbrains-garage-ventures,64988391,1.07E+12,Billionbrains Garage Ventures,BILO,/equities/billionbrains-garage-ventures-news
/equities/adani-transmission-ltd,1140000,1.07E+12,Adani Energy Solutions,ADAI,/equities/adani-transmission-ltd-news
/equities/polycab-india-ltd,396287,1.06E+12,Polycab India,POLC,/equities/polycab-india-ltd-news
/equities/mazagon-dock-shipbuilders,2200627,1.02E+12,Mazagon Dock,MAZG,/equities/mazagon-dock-shipbuilders-news
/equities/dr-reddys-laboratories,1672460,1.01E+12,Dr Reddy’s Laboratories,REDY,/equities/dr-reddys-laboratories-news
/equities/apollo-hospitals,489138,1E+12,Apollo Hospitals,APLH,/equities/apollo-hospitals-news
/equities/gmr-infrastructure,20963609,9.9085E+11,GMR Airports,GMRI,/equities/gmr-infrastructure-news
/equities/lupin,1149131,9.8175E+11,Lupin,LUPN,/equities/lupin-news
/equities/shree-cements,42402,9.6931E+11,Shree Cement,SHCM,/equities/shree-cements-news
/equities/united-spirits,1803157,9.6489E+11,United Spirits,UNSP,/equities/united-spirits-news
/equities/lg-electronics-india,731965,9.5897E+11,LG Electronics India,LGEL,/equities/lg-electronics-india-news
/equities/the-indian-hotels,3713962,9.5868E+11,Indian Hotels Co.,IHTL,/equities/the-indian-hotels-news
/equities/rural-electrification,21086535,9.5863E+11,REC,RECM,/equities/rural-electrification-news
/equities/macrotech-developers-bo,43287,9.5024E+11,Lodha Developers,LODH,/equities/macrotech-developers-bo-news
/equities/marico,4195864,9.4721E+11,Marico,MRCO,/equities/marico-news
/equities/max-healthcare-institute-ns,5638365,9.2688E+11,Max Healthcare Institute,MAXE,/equities/max-healthcare-institute-ns-news
/equities/icici-prudential-life-insurance-com,1484926,9.225E+11,ICICI Prudential Life Insurance,ICIR,/equities/icici-prudential-life-insurance-com-news
/equities/crompton-greaves,3742695,9.2131E+11,CG Power and Industrial Solutions,CGPO,/equities/crompton-greaves-news
/equities/bharat-heavy-electricals,6252061,9.1335E+11,Bharat Heavy Electricals,BHEL,/equities/bharat-heavy-electricals-news
/equities/hindustan-petroleum,6429392,9.0837E+11,Hindustan Petroleum,HPCL,/equities/hindustan-petroleum-news
/equities/icici-lombard,633707,9.0401E+11,ICICI Lombard,ICIL,/equities/icici-lombard-news
/equities/persistent-systems,486262,9.0028E+11,Persistent Systems,PERS,/equities/persistent-systems-news
/equities/dabur-india,2737132,8.9846E+11,Dabur India,DABU,/equities/dabur-india-news
/equities/cadila-healthcare,662055,8.8986E+11,Zydus Lifesciences,ZYDU,/equities/cadila-healthcare-news
/equities/aditya-birla,5757878,8.8393E+11,Aditya Birla Capital,ADTB,/equities/aditya-birla-news
/equities/siemens-energy-india-bo,34730,8.8371E+11,Siemens Energy India,SIEE,/equities/siemens-energy-india-bo-news
/equities/mankind-pharma,12058,8.6722E+11,Mankind Pharma,MNKI,/equities/mankind-pharma-news
/equities/swiggy,41695914,8.4989E+11,Swiggy,SWIG,/equities/swiggy-news
/equities/srf,426581,8.3245E+11,SRF,SRFL,/equities/srf-news
/equities/oil-india,12028407,8.3022E+11,Oil India,OILI,/equities/oil-india-news
/equities/alstom-india-ltd,1229094,8.2611E+11,GE Vernova T&D,GETD,/equities/alstom-india-ltd-news
/equities/abb-power-products-and-systems,150302,8.1665E+11,Hitachi Energy India,HITN,/equities/abb-power-products-and-systems-news
/equities/jsw-energy,3023985,8.0685E+11,JSW Energy,JSWE,/equities/jsw-energy-news
/equities/info-edge-(india),2685297,8.0661E+11,Info Edge India,INED,/equities/info-edge-(india)-news
/equities/havells-india,2002060,8.0396E+11,Havells India,HVEL,/equities/havells-india-news
/equities/waaree-energies,946856,7.9058E+11,Waaree Energies,WAAN,/equities/waaree-energies-news
/equities/nhpc,14584257,7.8532E+11,NHPC,NHPC,/equities/nhpc-news
/equities/bharti-hexacom,332685,7.7985E+11,Bharti Hexacom,BHAX,/equities/bharti-hexacom-news
/equities/ntpc-green-energy,15002180,7.78E+11,NTPC Green Energy,NTPG,/equities/ntpc-green-energy-news
/equities/lenskart-solutions-pvt,856869,7.741E+11,Lenskart Solutions,LENS,/equities/lenskart-solutions-pvt-news
/equities/pb-fintech,2230103,7.6119E+11,PB Fintech,PBFI,/equities/pb-fintech-news
/equities/meesho-ltd,3689876,7.5902E+11,Meesho,MEES,/equities/meesho-ltd-news
/equities/one-97-communications,7377268,7.4727E+11,One 97 Communications,PAYT,/equities/one-97-communications-news
/equities/bank-of-india,11736534,7.4656E+11,Bank of India,BOI,/equities/bank-of-india-news
/equities/bajaj-housing-finance,25585905,7.3341E+11,Bajaj Housing Finance,BAJO,/equities/bajaj-housing-finance-news
/equities/sbi-cards-and-payment-services-ltd,3416794,7.321E+11,SBI Cards,SBIC,/equities/sbi-cards-and-payment-services-ltd-news
/equities/au-small-finance-bank-ltd,2978565,7.3122E+11,AU Small Finance Bank,AUFI,/equities/au-small-finance-bank-ltd-news
/equities/idfc-bank-ltd,42058731,7.1696E+11,IDFC First Bank,IDFB,/equities/idfc-bank-ltd-news
/equities/rail-vikas-nigam-ltd,14048559,7.1193E+11,Rail Vikas Nigam,RAIV,/equities/rail-vikas-nigam-ltd-news
/equities/nmdc,44472018,7.1126E+11,NMDC,NMDC,/equities/nmdc-news
/equities/the-federal-bank,4286394,7.0815E+11,Federal Bank,FED,/equities/the-federal-bank-news
/equities/lt-finance-holdings-ltd,4445140,7.0694E+11,L&T Finance,LTFL,/equities/lt-finance-holdings-ltd-news
/equities/national-aluminium,40709006,7.0095E+11,National Aluminium Co,NALU,/equities/national-aluminium-news
/equities/torrent-power,559322,6.9942E+11,Torrent Power Ltd,TOPO,/equities/torrent-power-news
/equities/indusind-bank,2867342,6.9564E+11,IndusInd Bank,INBK,/equities/indusind-bank-news
/equities/aurobindo-pharma,8127226,6.9563E+11,Aurobindo Pharma,ARBN,/equities/aurobindo-pharma-news
/equities/bharat-forge,1048256,6.8811E+11,Bharat Forge,BFRG,/equities/bharat-forge-news
/equities/indian-overseas-bank,8698940,6.8515E+11,Indian Overseas Bank,IOBK,/equities/indian-overseas-bank-news
